id,nom,latitude,longitude,etat,nb_mplacements,emplacements_disponibles,velos_disponibles,date
1,République,48.1100259201, -1.6780371631,En fonctionnement,30,25,5,2018-04-25T10:47:04+02:00
2,Mairie,48.11162394, -1.678756711,En fonctionnement,24,6,18,2018-04-25T10:47:04+02:00
3,Champ Jacquet,48.11276415, -1.680061726,En fonctionnement,24,8,16,2018-04-25T10:47:04+02:00
10,Musée Beaux-Arts,48.10960131, -1.674080473,En fonctionnement,16,4,12,2018-04-25T10:47:04+02:00
12,TNB,48.10774793, -1.673711188,En fonctionnement,28,16,12,2018-04-25T10:47:04+02:00
14,Laënnec,48.10684716, -1.665817007,En fonctionnement,16,3,13,2018-04-25T10:47:04+02:00
17,Charles de Gaulle,48.10511105, -1.677119338,En fonctionnement,24,17,7,2018-04-25T10:47:04+02:00
20,Pont de Nantes,48.10201473, -1.68401528,En fonctionnement,20,9,11,2018-04-25T10:47:04+02:00
22,Oberthur,48.11354975, -1.661858016,En fonctionnement,20,13,7,2018-04-25T10:47:04+02:00
25,Office de Tourisme,48.11029374, -1.683105558,En fonctionnement,10,6,4,2018-04-25T10:47:04+02:00
26,Les Lices,48.1127656, -1.685036859,En fonctionnement,19,15,4,2018-04-25T10:47:04+02:00
29,Jules Ferry,48.12136902, -1.67115202,En fonctionnement,16,8,8,2018-04-25T10:47:04+02:00
33,Anatole France,48.11799934, -1.686465142,En fonctionnement,14,6,8,2018-04-25T10:47:04+02:00
41,Cimetière Est,48.10435667, -1.650119865,En fonctionnement,17,9,8,2018-04-25T10:47:04+02:00
43,Cité Judiciaire,48.10477144, -1.684109864,En fonctionnement,24,10,14,2018-04-25T10:47:04+02:00
44,Metz - Sévigné,48.1159929, -1.658257802,En fonctionnement,16,7,9,2018-04-25T10:47:04+02:00
49,Beaulieu Diapason,48.1180141, -1.64293529,En fonctionnement,30,14,16,2018-04-25T10:47:04+02:00
52,Villejean-Université,48.12107586, -1.704122004,En fonctionnement,24,13,11,2018-04-25T10:47:04+02:00
60,Cucillé,48.12878846, -1.698129434,En fonctionnement,25,20,5,2018-04-25T10:47:04+02:00
61,Jacques Cartier,48.09753211, -1.674305789,En fonctionnement,24,22,2,2018-04-25T10:47:04+02:00
72,Cleunay,48.10420724, -1.712715676,En fonctionnement,26,18,8,2018-04-25T10:47:04+02:00
73,Géniaux,48.10892914, -1.70949212,En fonctionnement,15,2,13,2018-04-25T10:47:04+02:00
76,Monts d'Arrée,48.13670153, -1.666669611,En fonctionnement,14,7,7,2018-04-25T10:47:04+02:00
80,Painlevé,48.12299363, -1.66054712,En fonctionnement,18,15,3,2018-04-25T10:47:04+02:00
6,Hôtel Dieu,48.11759556, -1.677848572,En fonctionnement,26,14,12,2018-04-25T10:47:04+02:00
21,Les Halles,48.10762593, -1.68008507,En fonctionnement,16,6,10,2018-04-25T10:47:04+02:00
27,Horizons,48.11206316, -1.688501828,En fonctionnement,14,10,4,2018-04-25T10:47:04+02:00
30,Guéhenno - Fougères,48.1198388, -1.6662274,En fonctionnement,16,9,7,2018-04-25T10:47:04+02:00
39,Pontchaillou Métro,48.12148072, -1.692736796,En fonctionnement,28,15,13,2018-04-25T10:47:04+02:00
40,Pierre Martin,48.10349855, -1.662322085,En fonctionnement,20,12,8,2018-04-25T10:47:04+02:00
47,Beaulieu Chimie,48.11645831, -1.633874902,En fonctionnement,30,29,1,2018-04-25T10:47:04+02:00
58,La Harpe,48.12561867, -1.710314516,En fonctionnement,25,11,14,2018-04-25T10:47:04+02:00
63,Henri Fréville,48.08733717, -1.674849492,En fonctionnement,24,21,3,2018-04-25T10:47:04+02:00
64,Italie,48.08673805, -1.667567578,En fonctionnement,16,13,3,2018-04-25T10:47:04+02:00
68,Alma,48.0841016, -1.6788926,En fonctionnement,20,11,9,2018-04-25T10:47:04+02:00
75,ZA Saint-Sulpice,48.13212931, -1.635197526,En fonctionnement,30,22,8,2018-04-25T10:47:04+02:00
81,Turmel,48.12247127, -1.651084974,En fonctionnement,16,7,9,2018-04-25T10:47:04+02:00
83,Ronceray,48.09278305, -1.64046833,En fonctionnement,21,17,4,2018-04-25T10:47:04+02:00
84,Gares - Beaumont,48.103832, -1.674006,En fonctionnement,24,22,2,2018-04-25T10:47:04+02:00
5,Sainte-Anne,48.11449999, -1.680984419,En fonctionnement,24,9,15,2018-04-25T10:47:04+02:00
9,Saint-Georges,48.11238529, -1.674416809,En fonctionnement,18,15,3,2018-04-25T10:47:04+02:00
18,Dalle Colombier,48.10511992, -1.678680082,En fonctionnement,19,11,8,2018-04-25T10:47:04+02:00
28,Chèques Postaux,48.10887069, -1.693403624,En fonctionnement,22,12,10,2018-04-25T10:47:04+02:00
37,Auberge de Jeunesse,48.12087602, -1.681875901,En fonctionnement,18,14,4,2018-04-25T10:47:04+02:00
42,Robidou,48.1099262529, -1.6594991532,En fonctionnement,20,3,17,2018-04-25T10:47:04+02:00
45,Gares Sud - Féval,48.10225077, -1.673133314,En fonctionnement,20,6,14,2018-04-25T10:47:04+02:00
46,Plaine de Baud,48.1124881795, -1.6438615322,En fonctionnement,24,6,18,2018-04-25T10:47:04+02:00
48,Beaulieu Restau U,48.1220476, -1.638368167,En fonctionnement,18,14,4,2018-04-25T10:47:04+02:00
51,Bouzat,48.12873253, -1.635133691,En fonctionnement,18,11,7,2018-04-25T10:47:04+02:00
54,Pontchaillou Halte TER,48.11918585, -1.69159743,En fonctionnement,24,14,10,2018-04-25T10:47:04+02:00
56,Berger,48.1163137, -1.705097382,En fonctionnement,14,4,10,2018-04-25T10:47:04+02:00
70,Mermoz,48.09792539, -1.688143274,En fonctionnement,12,8,4,2018-04-25T10:47:04+02:00
71,Sainte-Thérèse,48.09498595, -1.663731032,En fonctionnement,12,7,5,2018-04-25T10:47:04+02:00
78,Gros-Chêne,48.12679483, -1.665100916,En fonctionnement,18,10,8,2018-04-25T10:47:04+02:00
82,La Poterie,48.08727692, -1.644125895,En fonctionnement,28,24,4,2018-04-25T10:47:04+02:00
4,Place Hoche,48.11507371, -1.677072612,En fonctionnement,24,0,24,2018-04-25T10:47:04+02:00
15,Gares - Solférino,48.1041558, -1.671268,En fonctionnement,35,30,5,2018-04-25T10:47:04+02:00
16,Champs Libres,48.1055375, -1.674328158,En fonctionnement,24,19,5,2018-04-25T10:47:04+02:00
23,La Rotonde,48.10665252, -1.686769954,En fonctionnement,20,4,16,2018-04-25T10:47:04+02:00
31,Voltaire,48.10524, -1.698107,En fonctionnement,16,9,7,2018-04-25T10:47:04+02:00
32,La Touche,48.11660778, -1.690943915,En fonctionnement,16,6,10,2018-04-25T10:47:04+02:00
