"region";"etat"
"South";"Alabama"
"West";"Alaska"
"West";"Arizona"
"South";"Arkansas"
"West";"California"
"West";"Colorado"
"Northeast";"Connecticut"
"South";"Delaware"
"South";"Florida"
"South";"Georgia"
"West";"Hawaii"
"West";"Idaho"
"North Central";"Illinois"
"North Central";"Indiana"
"North Central";"Iowa"
"North Central";"Kansas"
"South";"Kentucky"
"South";"Louisiana"
"Northeast";"Maine"
"South";"Maryland"
"Northeast";"Massachusetts"
"North Central";"Michigan"
"North Central";"Minnesota"
"South";"Mississippi"
"North Central";"Missouri"
"West";"Montana"
"North Central";"Nebraska"
"West";"Nevada"
"Northeast";"New Hampshire"
"Northeast";"New Jersey"
"West";"New Mexico"
"Northeast";"New York"
"South";"North Carolina"
"North Central";"North Dakota"
"North Central";"Ohio"
"South";"Oklahoma"
"West";"Oregon"
"Northeast";"Pennsylvania"
"Northeast";"Rhode Island"
"South";"South Carolina"
"North Central";"South Dakota"
"South";"Tennessee"
"South";"Texas"
"West";"Utah"
"Northeast";"Vermont"
"South";"Virginia"
"West";"Washington"
"South";"West Virginia"
"North Central";"Wisconsin"
"West";"Wyoming"
