group1,group2,value,weight
A,C,-1.20706574938542,1
B,C,0.27742924211066,9
A,C,1.08444117668306,8
B,C,-2.34569770262935,7
A,C,0.42912468881105,7
B,C,0.506055892157574,6
A,C,-0.574739960134649,6
B,C,-0.546631855784187,6
A,C,-0.564451999093283,10
B,C,-0.890037829044104,3
A,C,-0.477192699753547,4
B,C,-0.998386444859704,5
A,C,-0.77625389463799,1
B,C,0.0644588172762693,2
A,C,0.959494058970771,5
B,C,-0.110285494390774,6
A,C,-0.511009505806642,4
B,C,-0.911195416629811,10
A,C,-0.83717168026894,6
B,C,2.41583517848934,1
A,C,0.134088220152031,2
B,C,-0.490685896690943,6
A,C,-0.440547872353227,9
B,C,0.459589441005854,10
A,C,-0.693720246937475,9
B,C,-1.44820491038647,4
A,C,0.574755720900728,5
B,C,-1.02365572296388,7
A,C,-0.0151383003641817,4
B,C,-0.935948601168394,1
A,C,1.10229754620026,2
B,C,-0.475593078869057,8
A,C,-0.709440037512506,9
B,C,-0.501258060594761,7
A,C,-1.6290934690787,7
B,C,-1.16761926209419,3
A,C,-2.18003964894867,8
B,C,-1.34099319210003,1
A,C,-0.294293858763713,8
B,C,-0.46589754040611,4
A,C,1.44949626528713,4
B,C,-1.06864272367458,6
A,C,-0.855364633737507,9
B,C,-0.280623001957454,8
A,C,-0.994340076295665,9
B,C,-0.968514317872049,2
A,C,-1.10731819264177,7
B,C,-1.25198588563894,1
A,C,-0.523828118987356,9
B,C,-0.4968499572667,6
A,C,-1.80603125680195,3
B,C,-0.582075924689333,8
A,C,-1.10888962442678,8
B,C,-1.01496200949201,8
A,C,-0.162309523556819,3
B,C,0.563055818994517,1
A,C,1.64781747281506,4
B,C,-0.773353423943695,2
A,C,1.6059096288573,5
B,C,-1.15780854769441,6
A,C,0.656588464332807,10
B,C,2.54899107071786,3
A,C,-0.0347603898038376,2
B,C,-0.669633579661957,9
A,C,-0.00760475571097463,6
B,C,1.77708444814343,6
A,C,-1.13860773675091,9
B,C,1.36782717942326,8
A,C,1.32956479078236,1
B,C,0.336472797203817,5
A,C,0.00689283844195796,1
B,C,-0.455468738161428,9
A,C,-0.366523932873933,8
B,C,0.648286567503148,5
A,C,2.07027086133094,1
B,C,-0.15339841246697,1
A,C,-1.39070094670149,10
B,C,-0.723581777110154,8
A,C,0.258261762167853,7
B,C,-0.317059114961199,2
A,C,-0.177789957664294,1
B,C,-0.169994076854541,5
A,C,-1.37230188587669,8
B,C,-0.173787170414033,9
A,C,0.850232257121884,1
B,C,0.697608711668253,5
A,C,0.549997351091101,2
B,C,-0.402731975447623,9
A,C,-0.191593770478477,1
B,C,-1.19452787960251,10
A,C,-0.0531588187433239,4
B,C,0.255196000995833,7
A,C,1.70596400724007,8
B,C,1.00151325236345,7
A,C,-0.49558344300146,1
B,C,0.355550296999749,9
A,C,-1.13460804353385,8
B,C,0.878203626952291,7
A,C,0.972916753376122,9
B,C,2.12111710537568,7
A,C,0.414523534374985,7
B,C,-0.47471847352936,4
A,C,0.0659934937044614,10
B,C,-0.502477782393866,1
A,C,-0.825998587129336,2
B,C,0.166989279752984,9
A,C,-0.896264626244759,2
B,C,0.168185387655757,5
A,C,0.354968261014854,8
B,C,-0.0521051168711336,1
A,C,-0.195934618716253,5
B,C,-0.64906975160576,3
A,C,-1.10976723139873,10
B,C,0.849274202655058,5
A,C,0.022362526076024,5
B,C,0.831140617306835,8
A,C,-1.24428785134423,8
B,C,0.169026413766175,7
A,C,0.673166306947679,9
B,C,-0.0262763764485261,6
A,C,-0.191392168556024,5
B,C,-0.781906646699876,1
A,C,2.05816198776349,6
B,C,0.750501453155831,5
A,C,1.82420830237829,4
B,C,0.080059641091988,4
A,C,-0.631409298966366,1
B,C,-1.51328812003373,5
A,C,-0.636099831085051,3
B,C,0.226301532497161,3
