yhat1;yhat3;yhat2;yhat4;yhat5
-0,370139303;1,268399464;-0,556368113;1,575173476;0,238158097
-0,375951572;1,319196536;-0,504937488;1,606734127;0,24125079
-0,327629912;1,220648829;-0,779292564;1,543029221;0,233833391
-0,175102106;0,829985539;-0,824733931;1,087458942;0,394568589
-0,421659587;0,100967912;-0,851870119;0,851868414;0,176500578
-0,41938604;1,228714316;-0,560854626;1,335504954;0,15926398
-0,403911282;1,139284316;-0,595473939;1,324001501;0,178558792
-0,411621689;1,224789093;-0,53918218;1,342885887;0,174758627
-0,205950116;1,781271866;-0,556314702;1,729324711;0,375058309
-0,210091278;1,731077734;-0,487660043;1,816664761;0,403729171
-0,218226751;1,463430646;-0,606410517;1,659487963;0,382143279
-0,133191649;2,701658853;-0,418630819;2,115692317;0,415730734
-0,152720018;2,849557032;-0,290319964;2,119565971;0,406522855
-0,183981678;2,720679809;-0,347113936;2,084497212;0,369842091
-0,168662771;1,421594055;-0,832033603;1,686834612;0,391114399
-0,233641739;0,944434063;-0,969981452;1,451946244;0,318789088
-0,201609674;1,319006271;-0,846949654;1,664215403;0,360861622
-0,357454472;1,551923979;-0,731073334;1,49928156;0,163975636
-0,35013008;1,821833808;-0,632423898;1,484455489;0,159906036
-0,209081108;0,100028863;-1,333703979;1,437507191;0,36481625
-0,263101188;0,954080666;-1,262108122;1,378316121;0,203681217
-0,371077562;1,150136362;-1,029003329;1,254002634;0,099367039
-0,271614564;0,834716252;-0,729189342;1,479193938;0,352560183
-0,074307126;1,518814185;-1,147597018;1,668068906;0,405345763
-0,135520666;1,533203146;-1,017827085;1,657265482;0,36494297
-0,082966317;1,523717973;-1,131699963;1,64604755;0,396329676
-0,345128489;0,007906468;-1,289273565;0,957900383;0,179291472
-0,389140251;0,186871407;-1,011599942;0,81421348;0,158482148
-0,362353392;-0,47111958;-1,738133857;0,65698529;0,077060243
-0,05273952;1,985115482;-0,818718806;2,010850997;0,48926247
-0,034191612;0,26711364;-2,156308065;0,701621726;0,254800219
-0,375436797;0,369916546;-0,799287825;1,043002779;0,228577236
-0,465196542;0,596781711;-0,628261568;0,947557678;0,128841548
-0,235782962;0,465041528;-1,224586977;0,999628143;0,264519375
-0,423416965;-0,173411471;-0,782745044;0,537415754;0,191598819
-0,435449106;0,298362242;-0,835626386;0,564625538;0,106725156
-0,293663833;0,455471047;-1,203970066;0,921086398;0,196378217
-0,168088429;-0,626733249;-1,908488252;0,766085669;0,287662743
-0,080959418;-0,043584323;-1,692006672;0,975225687;0,387798444
-0,266056055;0,254516866;-1,127312255;0,931472481;0,273860361
