Pds NE	Pds EV	Sexe	Stade sexuel
2700	2400	M	4
1300	1050	F	3
650	550	M	3
900	850	M	3
1100	950	M	3
1150	1000	M	4
650	600	M	3
300	260	F	1
900	850	F	4
800	700	M	3
1000	900	M	2
220	200	M	1
120	100	F	1
180	150	F	1
80	70	F	1
90	70	M	1
1850	1650	M	3
1600	1450	F	2
300	260	F	2
2200	2000	M	4
250	220	F	2
2400	2200	F	3
260	220	M	3
130	120	F	1
160	150	F	1
490	420	F	1
290	160	F	1
1420	1250	F	4
280	260	F	1
1000	850	F	2
650	580	F	1
1750	1510	F	3
3500	2800	M	3
1100	850	F	2
850	800	M	2
850	700	F	1
1000	850	M	2
750	700	M	2
950	850	M	2
250	200	M	1
550	500	M	2
350	300	F	1
350	300	F	2
500	400	F	1
3400	3000	M	3
800	700	M	2
250	200	M	1
850	700	F	4
150	100	F	1
400	300	F	1
300	250	F	1
1150	1000	F	2
600	500	F	1
250	200	F	1
900	750	M	2
500	350	M	1
450	350	F	1
250	100	F	1
100	50	F	1
1000	900	F	2
1500	1400	F	4
1100	1000	F	2
2200	2000	M	3
600	500	M	2
800	700	M	1
700	650	M	2
700	650	M	2
400	300	M	1
400	200	F	1
500	400	F	1
850	600	F	1
650	600	M	2
100	80	M	1
1600	1400	F	2
2600	2250	M	3
500	400	M	2
2700	2300	M	3
150	100	F	1
300	280	F	2
500	430	M	2
1800	1600	F	5
240	200	F	3
400	350	F	2
700	600	F	2
300	250	M	2
300	250	F	4
4000	3600	M	4
5400	5100	M	4
1700	1500	M	3
700	500	F	4
550	470	M	2
2200	1600	F	5
1500	1100	F	5
800	700	F	3
250	180	F	1
150	120	F	1
80	50	M	1
280	260	F	1
200	190	M	1
1200	1000	M	3
1300	1150	F	2
1000	900	M	2
700	600	M	2
300	250	F	1
800	700	F	2
1900	1700	M	3
400	300	F	1
500	400	F	1
350	300	M	1
300	250	F	1
700	650	F	2
900	850	F	2
650	500	F	1
600	500	M	1
550	450	M	2
500	450	M	1
300	250	M	1
400	350	M	2
350	300	M	2
300	250	M	1
400	320	M	2
1000	900	M	2
1000	820	M	2
650	590	F	1
610	550	F	1
450	400	M	2
1300	1150	F	2
220	180	F	1
420	300	M	1
220	180	M	1
1500	1100	F	3
560	500	F	1
500	200	M	2
300	200	F	2
900	800	F	2
200	120	F	1
850	720	F	3
650	600	F	1
600	500	F	3
600	500	M	2
500	420	M	2
400	350	F	1
200	180	M	2
200	150	F	1
390	320	M	3
180	150	F	1
120	100	M	1
80	60	M	1
120	100	M	1
70	60	F	1
900	850	M	3
850	800	M	2
500	450	F	2
700	650	F	2
350	200	M	1
1000	800	F	1
500	400	F	1
500	400	F	1
700	600	F	2
3100	2800	M	3
1500	1300	F	2
500	400	F	1
700	550	M	2
650	500	F	1
600	550	F	1
1000	850	F	2
900	800	F	2
1300	1000	M	3
1600	1350	F	3
600	500	F	2
700	650	F	1
600	500	M	2
900	800	F	2
950	800	F	2
1100	950	F	1
750	680	M	3
600	500	M	3
500	450	F	2
800	700	F	1
800	700	F	1
100	900	M	3
750	650	F	1
300	270	F	3
600	500	F	1
580	520	F	1
500	490	F	1
480	400	F	1
600	500	F	2
300	270	F	1
350	320	M	2
500	400	F	1
510	480	M	2
510	390	M	2
680	590	M	2
120	110	F	1
190	130	F	1
140	130	F	1
130	120	F	1
110	100	M	1
310	230	M	1
130	120	F	1
40	30	F	1
500	400	M	2
400	300	F	1
800	700	F	2
500	400	M	2
700	600	M	2
300	250	M	2
250	200	M	1
1200	1100	F	3
2400	2150	F	4
1000	900	M	2
1000	900	M	2
950	800	M	2
650	500	M	2
750	550	F	2
1250	1150	M	3
1400	1200	F	3
750	650	F	2
1000	900	F	2
1850	1750	M	3
1000	900	F	5
1600	1500	M	2
100	80	F	1
1000	900	F	2
1800	850	M	3
1700	1600	M	3
1800	1500	F	4
1500	1200	M	4
600	500	F	1
500	450	F	1
1050	800	M	2
800	600	M	1
700	600	F	1
600	500	F	1
700	600	M	2
600	500	M	1
600	450	F	1
550	500	M	1
600	550	F	1
350	300	M	1
300	250	M	1
380	280	M	1
280	180	M	1
1100	1000	M	2
1050	900	F	2
600	550	F	1
200	110	F	1
600	500	F	2
510	460	M	3
200	190	F	1
210	200	M	2
260	200	F	1
280	200	F	1
100	80	F	1
720	660	F	1
440	400	F	1
1850	1600	M	4
1200	960	M	3
300	280	M	2
340	300	F	1
140	120	M	2
160	140	M	2
240	200	M	3
200	180	M	3
200	180	F	1
560	480	M	3
140	120	M	2
180	140	F	1
200	180	M	2
500	460	F	1
200	180	M	2
80	60	M	2
180	160	F	1
40	20	F	1
80	60	F	1
680	600	M	3
1300	1200	M	3
1600	1400	F	2
600	500	F	2
1600	1500	M	2
600	500	F	2
650	550	M	2
600	500	F	1
450	400	F	1
400	350	F	1
650	550	M	2
400	350	F	1
350	300	F	1
400	350	M	1
350	300	M	1
600	550	F	2
550	500	M	1
250	200	M	2
100	75	F	1
250	200	M	1
400	350	F	1
200	150	F	1
1800	1200	F	2
2000	1700	M	1
550	520	M	2
420	330	F	1
620	580	M	2
510	480	M	2
660	590	M	2
400	380	M	2
340	300	M	2
660	590	M	2
400	340	M	1
300	240	M	1
320	300	M	1
400	360	M	1
700	600	F	2
3100	2800	M	4
950	900	F	2
1100	1000	F	3
1250	1000	F	3
1000	950	F	3
950	850	M	3
1100	1000	M	3
1900	1600	F	4
600	500	M	2
800	700	F	2
350	300	F	1
550	450	F	2
350	300	F	2
1100	950	F	1
700	600	M	2
1000	900	M	3
700	550	F	1
680	500	M	3
950	800	M	3
500	450	M	2
500	450	M	2
550	450	M	2
3500	3200	M	4
3900	3500	M	4
1800	1300	F	2
2900	2600	M	4
700	600	M	3
200	150	M	1
3750	3300	M	3
2500	2200	M	2
600	450	F	1
400	350	F	1
1700	1500	M	3
1000	850	F	2
800	700	F	1
600	500	M	2
1500	1350	F	2
950	800	F	1
2000	1600	M	3
1300	1100	M	3
1700	1500	M	4
750	680	M	2
1500	1200	M	3
500	400	F	1
400	300	F	1
1300	1000	M	3
400	350	M	2
750	600	M	3
1800	1700	M	4
1800	1600	M	4
1100	1000	M	3
950	800	M	2
1100	950	M	2
400	350	M	2
450	400	M	1
600	500	M	2
400	300	F	1
500	400	M	2
500	350	M	2
450	350	F	1
320	250	M	1
550	480	M	2
500	450	M	2
400	350	M	2
620	560	M	2
400	380	F	1
450	400	M	2
400	350	M	2
520	480	M	2
380	350	M	2
280	240	M	2
670	550	F	2
750	700	M	2
320	280	F	1
620	550	F	2
760	650	M	2
780	700	F	1
480	420	M	2
350	300	F	2
240	200	M	2
480	420	F	2
220	180	F	2
370	300	M	2
350	280	M	2
500	450	M	2
540	500	M	2
580	540	M	2
520	460	F	2
700	600	M	2
280	250	F	1
360	320	F	1
500	420	F	1
380	320	M	2
520	460	F	1
220	180	M	1
450	400	M	2
340	300	F	1
350	320	F	1
600	500	M	2
750	700	F	2
550	450	M	2
800	680	F	2
520	480	M	2
460	420	F	1
280	240	F	1
720	640	F	1
600	540	M	2
700	660	M	2
650	580	M	1
570	520	M	2
560	500	F	1
620	560	F	1
450	400	F	1
600	440	F	1
260	220	M	2
1150	950	F	2
500	450	M	2
350	320	M	2
280	240	F	1
520	460	F	1
300	220	F	1
280	240	M	2
220	180	M	2
340	300	M	2
600	480	F	1
500	400	M	2
840	700	F	2
540	450	M	2
680	640	M	2
700	600	F	2
520	450	M	2
650	550	M	2
420	320	M	2
480	380	M	2
350	300	F	1
550	500	F	1
480	440	F	1
680	540	F	1
640	580	F	1
200	180	M	2
1400	1150	M	2
2500	2300	M	3
1100	1000	F	1
500	400	F	1
2000	1700	M	3
800	700	M	2
950	750	M	3
1100	1000	F	2
900	800	F	3
1500	1300	M	3
1400	1300	M	3
500	450	M	1
950	800	M	1
3000	2500	M	4
300	250	F	1
2500	2100	M	1
250	220	F	1
200	180	F	1
220	200	F	1
220	190	M	1
200	180	M	1
700	600	M	2
400	300	M	1
400	300	F	1
200	150	F	1
200	150	M	1
200	150	M	1
150	100	M	1
150	100	F	1
400	350	F	1
400	350	M	1
300	250	M	1
1500	1300	F	2
540	480	F	1
400	350	F	1
700	600	F	1
500	400	M	2
