"maxO3" "T6" "T9" "T12" "T15" "Ne6" "Ne9" "Ne12" "Ne15" "Vx6" "Vx9" "Vx12" "Vx15" "Vx18" "maxO3v" "Vent12"
101.4 9.3 15.2 18.5 20.2 6 6 6 5 2.9544 2.5712 4.924 3.7588 1.9696 80.2 "E"
113 8.1 17.1 22.6 23.9 2 3 5 6 -0.866 1.5321 4 3.9392 4 101.4 "E"
115.6 9.4 19.5 24.6 25.4 1 1 1 0 -0.5 2.9544 3.4641 3.0642 2.8191 113 "E"
117.8 10.2 20.6 26.6 27.7 0 0 1 1 0 2 1.0261 -1.0261 0.3473 115.6 "S"
127.8 12.6 22.3 28.1 28.9 0 0 1 1 0 0.684 3.0642 1.2856 2.9544 117.8 "E"
144.6 14.5 23.2 27.9 28.6 3 1 3 1 0 1.2856 3.4641 1.2856 1.0261 127.8 "E"
157 13.3 22 26.7 27.8 4 1 1 1 0.1736 1.9284 1.5 -1.9696 -2.2981 144.6 "S"
90.8 12.1 15.8 18.3 18 8 6 3 1 -0.6946 0.6946 -1.0419 0 -1.0419 157 "N"
74.4 9.5 13.3 15.8 16.8 1 4 2 4 0.5209 -0.6946 -1.3681 -2.5 0.8682 90.8 "N"
85.8 10 14 17.2 18.1 5 4 6 2 1.5 1 1.2856 0 2.5 74.4 "N"
58.2 10.4 11.2 13.1 13.5 8 8 8 8 3.9392 4 5 4.6985 2 85.8 "E"
64.4 8 8.7 9.3 8 8 8 8 8 3.5 2.3941 1.3892 0 -1.2155 58.2 "N"
74 5 9.6 11.6 11.1 8 3 5 3 -2.2981 0 1.3892 -1.2155 -2.0521 64.4 "N"
85.6 2.4 11.2 14.1 15 1 3 3 4 0 0.684 -1 1.5321 1.9696 74 "S"
77.2 6.2 12.2 14.8 15.4 7 6 7 7 1.9696 3.0642 4.924 3.0642 0.5209 85.6 "E"
42.8 9.1 10.5 12.1 14.3 8 8 8 7 2.5712 3.2139 3.2139 -0.342 -1.9696 77.2 "S"
75 12.4 13.4 15.3 15.1 7 7 6 6 -5.6382 -8 -9 -6.5778 -3.7588 42.8 "W"
80 8 10.7 13.4 13.6 7 7 6 2 0.3473 1.3681 -1.0419 -3.5 -2.0521 75 "N"
70.4 5.3 11.6 13.9 14.2 1 3 4 7 -1.8794 -2.8191 -0.3473 -1.5 -1.3681 80 "N"
69 6.2 11.7 13.4 14.5 2 7 7 7 0 -2.2981 -4.4995 -0.8682 0 70.4 "N"
83.4 5.4 13.6 16.8 17.8 1 4 3 7 0 3.4641 3.7588 2.9544 3.4641 69 "E"
94.2 9.6 16.5 20 20.9 7 6 6 6 1.9696 3.7588 4.6985 5.9088 4.3301 83.4 "E"
91.8 12.3 18.3 23 24.7 4 4 3 2 2 1.2856 2 -3 -2.0521 94.2 "S"
62 14.2 14.1 16 17.4 8 8 8 7 0 1.0261 -4 -4.5963 -3.8302 91.8 "S"
59.8 10.9 15.6 19.7 20.1 2 6 5 4 0.6428 -2 -4.5963 -3.8567 -3.4641 62 "W"
62.4 10.9 16.4 18.6 19.6 6 6 7 7 0.6428 0 -2.5 -3.8567 -2.5 59.8 "S"
60.2 13.9 17 21.6 21.7 5 7 5 4 -0.5209 -2.5 -3.5 -5.3623 -5.3623 62.4 "S"
64.2 15.7 19.8 21.4 21.7 6 6 7 6 0.6946 -2.0521 -3.8567 -5.1962 -5.9088 60.2 "S"
68.8 12.1 14.9 17.1 19 2 8 6 5 -1.5321 -2.5981 -3.0642 -6.0622 -4.3301 64.2 "W"
64.6 10.4 14.9 14.4 16 6 7 6 7 -1.9696 -2.5981 -1.9284 -1.0419 -1.0419 68.8 "N"
76.8 10.7 14.3 16.3 18 7 7 7 5 -1.7321 -1.7101 -1.7101 -2.0521 -1.0419 64.6 "N"
66 9 14 16.7 16 7 7 7 8 -0.6428 -0.9848 -2.9544 -1.8794 -1.9284 76.8 "W"
62.6 11.9 15.1 17.7 16.7 8 6 6 8 0.342 1 -1.9284 -1.7101 -1.3681 66 "N"
46.2 11.7 14 14.9 16.9 8 8 8 7 -0.9848 -3.4641 -3.0642 -5.6382 -3.7588 62.6 "W"
69.4 11.6 16 17.6 16.6 7 7 6 6 -1.5 -3.9392 -5.1962 -0.8682 0 46.2 "W"
72.2 8.6 13.9 16.3 16.6 3 6 6 6 -1.8794 0 -0.6946 0.6946 0.8682 69.4 "N"
78.2 8.7 15.7 19.5 20.2 3 4 4 4 0 1.2856 -0.766 -1.5 -0.8682 72.2 "W"
45.2 11 15.9 17.6 19.5 8 7 7 7 -0.866 -0.9848 -1.0261 -1.2856 0.8682 78.2 "N"
77.2 11.5 15 16.7 17.3 1 5 3 2 -2.5981 3.5 -1.3892 1.0419 1.2155 45.2 "N"
74 8.6 15.3 16.5 18.2 1 5 7 6 -1.5321 1.3681 2 -2 0.8682 77.2 "N"
63.8 7.8 14.2 16.1 15.9 2 8 8 8 -1.9696 -2 -1.9284 -1.7101 -1.7101 74 "N"
45.8 11.8 13.2 16 16.5 8 8 7 7 -2.9544 -2.8191 -2 0.8682 1.0419 63.8 "N"
64.6 11.9 13.6 15.2 16.5 2 8 6 6 0 2.5712 2.5 2.0521 0 45.8 "N"
60 10.8 13.4 14.8 14.4 5 7 7 6 0.3473 3.2139 0.8682 1.7101 0.8682 64.6 "N"
81 7.7 14.2 16.7 16.6 0 5 7 7 -0.9397 0.6946 0.8682 2.0521 0 60 "N"
65.6 9.9 16 18.5 20.6 7 6 4 2 -1.7321 -1.3681 1.0419 -0.6946 -0.6946 81 "N"
54.6 10.4 14.5 21.4 24.7 8 2 1 1 -1.8794 -1.7321 -1.5321 -4.924 1.3681 65.6 "W"
49.6 12.9 15.7 17 14.6 7 8 8 8 -2.2981 -5.1962 -4.5963 -3.0642 -4.5963 54.6 "W"
33.2 15.8 16.9 17.1 16.9 7 8 8 7 -1.7321 -4 0.3473 0.8682 0.6946 49.6 "N"
66.6 14.4 18.3 21.6 24.2 7 6 3 6 1.9696 -2.2981 -1.5 0.684 -1.5321 33.2 "S"
60.8 15.1 20.3 22.3 25.3 7 7 8 7 -1.8794 -0.5 -1 0.3473 0.8682 66.6 "N"
56.4 15.3 18.6 23 24.4 8 3 1 1 0.5209 2 2 0.8682 1.0419 60.8 "N"
78 14.6 18.5 21.6 22.4 1 1 1 1 3.0642 6.0622 6.0622 6.0622 5.1962 56.4 "E"
77.4 13.2 16 17.9 19.4 1 3 5 3 3.2139 5.3623 6.1284 6.8944 4.4995 78 "E"
70.8 12.7 14.9 20 21.2 6 6 1 2 1.3681 2.0521 3 1.2155 4.4995 77.4 "N"
93.6 12.6 18.3 22.5 24.8 5 1 4 2 0 3.0642 4.924 5.1962 5.9088 70.8 "E"
102.2 17.9 24.3 28.8 29.7 0 1 1 2 3.0642 4.6985 6.8937 6.5778 3.5 93.6 "E"
114 19 25.3 29.1 28.7 0 0 1 2 3.2139 5.1962 6.5778 5.3623 5.7851 102.2 "E"
121.6 17.1 23.6 30.5 30.9 0 6 2 3 -0.5209 1.5 5.6382 4 5.9088 114 "E"
136.8 21.5 28.6 32.2 33.2 0 0 1 1 0.9397 4 5.9088 4.924 3.4641 121.6 "E"
137.4 19.1 27.4 32 33.5 0 0 1 1 0.9848 0.766 1.5 -2.8191 -3.9392 136.8 "S"
136.6 18.3 22.9 30.3 21.8 6 6 6 8 -0.866 -1.7321 -1.9696 0 1 137.4 "W"
86 17.2 19.3 22.7 24.3 8 7 6 6 0 -3.4641 -2.8191 -5.3623 -3.7588 136.6 "W"
84.4 15.1 17.4 19.2 19.3 8 7 7 7 -2.5981 -2.5 -1.3681 -0.8682 1.7101 86 "N"
77.6 12.8 17.6 20.7 20.9 0 6 7 6 -0.766 -0.866 -1.0261 -0.8682 0 84.4 "N"
51 12.3 18.5 19.2 20.3 1 6 8 8 -1.7321 -0.684 -0.684 -0.5209 1.0261 77.6 "N"
50.8 14.8 18.3 20.4 20.8 7 7 7 6 -0.684 0.684 -1.5 0 0 51 "N"
75.8 13.7 20.2 24.3 26.4 5 2 5 3 -0.3473 0 0.5209 2.2981 0 50.8 "N"
134 15.9 23.9 28.4 29.7 3 3 6 1 0.3473 0.766 4.3301 2.8191 1.7101 75.8 "E"
129.6 18.3 26.5 32.7 33.5 0 1 3 3 -0.6428 2 1.5 2.5981 3 134 "S"
98.8 21.2 24.8 25.2 27.6 7 4 7 5 -0.3473 -1.5321 -1.9284 -3 -2.0521 129.6 "N"
66.8 17.7 17.7 21.3 25.1 8 8 7 4 -1.5321 -1.8794 -2.9544 -4.6985 -4.5963 98.8 "W"
